iter	Logloss
0	0.669678758
1	0.6496384429
2	0.631717595
3	0.6089501428
4	0.593324354
5	0.5778349432
6	0.5573396296
7	0.5399773697
8	0.5246344426
9	0.5089041899
10	0.4980728507
11	0.4872581567
12	0.4771758499
13	0.4663823368
14	0.4549091374
15	0.4470091585
16	0.4386715051
17	0.4292827309
18	0.4193215313
19	0.4112863465
20	0.4056256836
21	0.3992971442
22	0.3939861169
23	0.3868083623
24	0.3796534777
25	0.3726545201
26	0.365640907
27	0.3588370553
28	0.3538473709
29	0.3483398857
30	0.3441534862
31	0.3395620207
32	0.3355297232
33	0.3324625207
34	0.3296901907
35	0.3258390717
36	0.3235101708
37	0.3196352173
38	0.3161759513
39	0.3144725365
40	0.3123286312
41	0.3098665977
42	0.3076970178
43	0.3053243183
44	0.3025913208
45	0.300305878
46	0.2979036965
47	0.2960109761
48	0.2949049469
49	0.2925191466
50	0.2910232943
51	0.2893476161
52	0.2882279876
53	0.285906239
54	0.2841384693
55	0.2826509157
56	0.2812986766
57	0.2803451939
58	0.2787895711
59	0.2771177526
60	0.2754554408
61	0.2751560808
62	0.2741311944
63	0.2729162054
64	0.2714941699
65	0.2707694756
66	0.2697941824
67	0.2690593706
68	0.2679690849
69	0.2666535177
70	0.2658545919
71	0.2648293065
72	0.2636339408
73	0.2626365148
74	0.2617895274
75	0.2607772601
76	0.2602634675
77	0.2595831785
78	0.2588666921
79	0.2584478235
80	0.2575300545
81	0.2567534572
82	0.2560689509
83	0.2555764669
84	0.2552479256
85	0.2545391974
86	0.2537227074
87	0.2532436705
88	0.2526583113
89	0.252156409
90	0.2517236317
91	0.2511776808
92	0.2505438213
93	0.249940688
94	0.2496119192
95	0.2489432023
96	0.2483324955
97	0.2478868628
98	0.2474533599
99	0.247146217
100	0.2468090128
101	0.2463385578
102	0.2458277041
103	0.2453028295
104	0.2449683393
105	0.2446088587
106	0.2442225164
107	0.2437661794
108	0.2433374558
109	0.2431355345
110	0.2426974771
111	0.2423951405
112	0.2421379423
113	0.2418022343
114	0.2414079641
115	0.2410714147
116	0.2407174422
117	0.2403371918
118	0.2401468994
119	0.2397810907
120	0.2394493806
121	0.2390883444
122	0.2387932642
123	0.2385279267
124	0.2383219783
125	0.2380515665
126	0.23784559
127	0.2375239891
128	0.2372611575
129	0.2369656537
130	0.2367123837
131	0.2365270071
132	0.2362056612
133	0.2359303198
134	0.2357020054
135	0.2353145451
136	0.2350330275
137	0.2347996604
138	0.2345043341
139	0.2342673198
140	0.2339822536
141	0.2337038984
142	0.2335096533
143	0.2332833273
144	0.233066894
145	0.2328554316
146	0.2325827582
147	0.2322626083
148	0.2319382517
149	0.23175597
150	0.2314497383
151	0.2310804498
152	0.2308358515
153	0.2306087297
154	0.2304076785
155	0.2301775496
156	0.2299654244
157	0.2297703168
158	0.2295567132
159	0.2293037312
160	0.2290358991
161	0.2288638249
162	0.2287037894
163	0.2284918669
164	0.228219349
165	0.2279494938
166	0.2275720038
167	0.227321809
168	0.2271079339
169	0.2269044808
170	0.2265974567
171	0.2263982836
172	0.2261483642
173	0.2259762923
174	0.2257505016
175	0.2255928598
176	0.2253198894
177	0.2250953629
178	0.2248490071
179	0.2246200894
180	0.2243760505
181	0.224189404
182	0.2239588006
183	0.2237950023
184	0.2236443222
185	0.2234828404
186	0.2233166072
187	0.2230851496
188	0.2228861747
189	0.2226829922
190	0.222537244
191	0.2223777985
192	0.2221486575
193	0.2219289879
194	0.2217784665
195	0.2216421771
196	0.2214494701
197	0.221198297
198	0.2210083972
199	0.2208707257
200	0.2206982363
201	0.2205343427
202	0.2203180769
203	0.2201266392
204	0.2199712953
205	0.2197386563
206	0.2195353837
207	0.2192824235
208	0.2190211792
209	0.2187799907
210	0.2186328151
211	0.2184962678
212	0.2183092668
213	0.2180861474
214	0.2179111569
215	0.2177341219
216	0.2175878906
217	0.2174501462
218	0.2172729239
219	0.2170914658
220	0.2169037642
221	0.2167196795
222	0.2165249914
223	0.2162713663
224	0.21615859
225	0.2158680226
226	0.2156701813
227	0.2155545318
228	0.2154018571
229	0.2151154624
230	0.2149784448
231	0.2147170664
232	0.2144556742
233	0.2143072602
234	0.2140974672
235	0.2139455054
236	0.2137877454
237	0.2136108805
238	0.2135043567
239	0.2133397011
240	0.2131586944
241	0.2129394131
242	0.2127969802
243	0.2126595068
244	0.2123887757
245	0.2121710123
246	0.2120441122
247	0.2117934315
248	0.2116459078
249	0.2114419116
250	0.2112686167
251	0.2110744517
252	0.2108736201
253	0.210597763
254	0.210491329
255	0.2103657165
256	0.2102334415
257	0.2100862782
258	0.2099034391
259	0.2097636735
260	0.2095704635
261	0.2094182183
262	0.2092876344
263	0.20912249
264	0.2089425082
265	0.2088103503
266	0.2087393259
267	0.2085692944
268	0.2084562246
269	0.2082561013
270	0.2080702722
271	0.2079960037
272	0.2078341778
273	0.2077313854
274	0.2074875553
275	0.2073678111
276	0.2071921088
277	0.2070236794
278	0.2068457461
279	0.2066567826
280	0.206477243
281	0.2063413292
282	0.2062702889
283	0.2061246973
284	0.2060043227
285	0.2057917267
286	0.2056270813
287	0.2054783699
288	0.2053438891
289	0.2052964051
290	0.2051824622
291	0.2050885156
292	0.2049794056
293	0.2048652047
294	0.2046446456
295	0.2044453814
296	0.2043293858
297	0.2041986631
298	0.2040444978
299	0.2039140743
300	0.2037410355
301	0.2035213182
302	0.2033657527
303	0.2032190591
304	0.2030437064
305	0.2029006429
306	0.2027129148
307	0.2025223552
308	0.2023342024
309	0.2022366606
310	0.2020443224
311	0.2018628332
312	0.2017607335
313	0.2016731427
314	0.2015152171
315	0.2013505878
316	0.2012573517
317	0.2010678566
318	0.2009631349
319	0.2008158733
320	0.2007059391
321	0.2005466571
322	0.200390904
323	0.2002443433
324	0.2000564556
325	0.1998765018
326	0.1997850387
327	0.1996345051
328	0.1994411879
329	0.1992881367
330	0.1991308179
331	0.1989766947
332	0.1989054406
333	0.1988068652
334	0.198633695
335	0.1985111192
336	0.1983802141
337	0.1982331888
338	0.1981288098
339	0.1979895526
340	0.1978808052
341	0.1977557611
342	0.1976003698
343	0.1974366661
344	0.1971970689
345	0.197025268
346	0.1968630023
347	0.1967563307
348	0.1965602178
349	0.1963448257
350	0.1962531663
351	0.1961293617
352	0.195931558
353	0.1956775937
354	0.1955262041
355	0.1952841583
356	0.1950824167
357	0.1950305786
358	0.1948057241
359	0.1946096207
360	0.1944810364
361	0.1942445434
362	0.194057508
363	0.1938209077
364	0.1935692918
365	0.1934551701
366	0.1933486827
367	0.1932115192
368	0.192892812
369	0.1927792789
370	0.1926141576
371	0.1924299169
372	0.1922654801
373	0.1919642054
374	0.1917412837
375	0.1915586863
376	0.1914157622
377	0.1912367278
378	0.1910540939
379	0.1908870481
380	0.1906900058
381	0.1905821537
382	0.1903922609
383	0.1902432995
384	0.1901198797
385	0.1899568919
386	0.1898044309
387	0.1896499986
388	0.1895243411
389	0.1893227378
390	0.1892307378
391	0.1890680493
392	0.1889490806
393	0.1887766496
394	0.1887005637
395	0.1885222964
396	0.1884514973
397	0.1883338346
398	0.1882416943
399	0.1881109341
400	0.1879786697
